ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
7037296,F,N,Y,0,265500,State servant,Higher education,Married,House / apartment,-17622,-5564,1,0,0,0,Managers,2
7007875,F,N,Y,0,144000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15730,-2085,1,0,0,0,Sales staff,1
7009939,F,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-10710,-2351,1,0,0,0,Sales staff,4
7438861,M,Y,N,1,112500,Commercial associate,Secondary / secondary special,Married,With parents,-8689,-2064,1,0,0,0,Laborers,3
7833164,F,N,Y,0,270000,Commercial associate,Higher education,Single / not married,House / apartment,-9734,-239,1,0,0,0,,1
7730294,M,Y,Y,0,270000,Working,Higher education,Single / not married,House / apartment,-11585,-363,1,0,0,0,,1
7063464,F,Y,Y,3,126000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12264,-1097,1,0,0,0,Laborers,5
7785117,M,Y,Y,0,292500,State servant,Higher education,Married,House / apartment,-16769,-1101,1,0,0,0,,2
7212640,F,N,Y,1,162000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14640,-2526,1,0,0,0,Laborers,2
7507533,M,N,Y,1,180000,Working,Incomplete higher,Married,House / apartment,-13676,-4868,1,1,0,0,Laborers,3
7345699,F,Y,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-23805,365243,1,0,0,1,,2
7210145,M,N,N,0,247500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-18250,-1420,1,0,0,0,High skill tech staff,2
7352044,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21290,365243,1,0,0,0,,1
7928500,F,N,Y,0,157500,Commercial associate,Higher education,Married,House / apartment,-14953,-503,1,0,0,0,High skill tech staff,2
7051126,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-8929,-682,1,0,0,0,Core staff,2
7576139,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-8890,-611,1,0,0,0,Sales staff,2
7711372,M,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15864,-937,1,0,1,0,Laborers,3
7228876,F,Y,Y,2,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14276,-2762,1,0,0,1,,4
7090003,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,365243,1,0,0,0,,2
7304276,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-14429,-3016,1,0,0,0,,2
7872676,F,Y,Y,1,495000,Working,Higher education,Civil marriage,House / apartment,-11016,-1097,1,0,0,0,Medicine staff,3
7122828,F,N,N,2,81000,Working,Secondary / secondary special,Single / not married,House / apartment,-11344,-2125,1,0,0,0,Laborers,3
7367657,F,N,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,-19091,-11321,1,0,0,0,Laborers,2
7883302,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18270,-1865,1,0,0,0,Drivers,2
7149142,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-10952,-3577,1,1,0,0,Laborers,2
7282834,F,N,Y,0,76500,Working,Secondary / secondary special,Separated,House / apartment,-18104,-2220,1,1,0,0,Laborers,1
7736705,F,N,N,0,270000,Working,Incomplete higher,Married,Rented apartment,-13408,-298,1,1,0,0,High skill tech staff,2
7928511,M,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-8337,-1387,1,1,0,0,Sales staff,2
7543520,F,N,Y,1,117000,Working,Secondary / secondary special,Married,House / apartment,-17957,-1850,1,0,0,0,Sales staff,3
7736484,M,N,Y,0,216000,Working,Secondary / secondary special,Single / not married,House / apartment,-21355,-762,1,0,0,0,Security staff,1
7409484,F,N,Y,0,51750,Working,Secondary / secondary special,Married,House / apartment,-17166,-2514,1,0,0,0,Cleaning staff,2
7233324,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-14791,-4915,1,0,1,0,Laborers,2
7668333,F,N,N,1,72000,Working,Secondary / secondary special,Married,House / apartment,-14485,-1046,1,0,1,0,Laborers,3
7536275,F,N,Y,0,202500,State servant,Higher education,Married,House / apartment,-16537,-5012,1,0,0,0,,2
7637451,F,Y,N,1,67500,Working,Secondary / secondary special,Married,House / apartment,-15510,-698,1,0,1,0,Sales staff,3
7089005,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,-19657,-2774,1,0,1,0,,2
7712825,M,Y,Y,0,157500,Working,Higher education,Married,House / apartment,-11221,-218,1,1,0,0,,2
7525561,F,N,Y,0,54000,Working,Secondary / secondary special,Married,House / apartment,-16622,-1467,1,1,1,0,Cooking staff,2
7052586,F,N,Y,0,178200,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21801,365243,1,0,0,0,,2
7036357,F,N,Y,1,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16625,-1264,1,0,0,0,Core staff,3
7938782,M,Y,Y,1,427500,Working,Higher education,Married,House / apartment,-10537,-2795,1,0,0,0,Core staff,3
7992779,F,N,Y,0,117000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21668,365243,1,0,1,0,,1
7796824,F,N,Y,0,337500,Working,Higher education,Single / not married,House / apartment,-19317,-3523,1,0,0,0,High skill tech staff,1
7592119,F,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-14888,-823,1,0,0,0,Laborers,3
7052515,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-16901,-7731,1,0,0,0,,2
7665587,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-12534,-1071,1,1,1,1,Sales staff,2
7137204,M,Y,Y,0,76500,Working,Secondary / secondary special,Married,House / apartment,-20033,-2409,1,0,0,0,Drivers,2
7950075,F,Y,Y,1,396000,Working,Incomplete higher,Married,House / apartment,-19788,-3317,1,0,0,0,Sales staff,3
7281345,F,N,N,0,112500,Working,Secondary / secondary special,Widow,House / apartment,-14794,-1339,1,1,0,0,Laborers,1
7036002,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10707,-2564,1,0,1,0,Laborers,3
7624955,M,N,N,0,157500,State servant,Lower secondary,Married,With parents,-10367,-727,1,1,0,0,Laborers,2
7671262,F,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-11568,-935,1,0,0,0,Medicine staff,4
7771536,M,Y,Y,0,225000,State servant,Higher education,Single / not married,House / apartment,-9496,-1329,1,0,1,0,Managers,1
7485503,F,Y,Y,0,337500,Working,Secondary / secondary special,Married,House / apartment,-18860,-2731,1,0,0,0,Sales staff,2
7211794,F,N,Y,0,171000,State servant,Higher education,Civil marriage,House / apartment,-11253,-335,1,0,1,1,Core staff,2
7560736,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21557,365243,1,0,0,0,,1
7949880,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15386,-3225,1,0,0,0,Managers,3
7465231,M,Y,Y,0,337500,Commercial associate,Secondary / secondary special,Married,House / apartment,-18915,-199,1,0,0,1,Security staff,2
7229365,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-15668,-297,1,1,0,0,Drivers,3
7709299,M,Y,N,0,270000,Working,Higher education,Married,House / apartment,-15083,-4401,1,1,0,0,High skill tech staff,2
7028858,M,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-13867,-3095,1,0,0,0,Laborers,3
7067292,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-19867,-720,1,0,0,1,,1
7744014,M,N,N,0,360000,Pensioner,Higher education,Married,House / apartment,-22968,365243,1,0,1,1,,2
7674435,F,N,N,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21938,365243,1,0,0,0,,1
7552501,F,Y,Y,0,180000,Working,Secondary / secondary special,Married,Municipal apartment,-15906,-2752,1,0,0,0,Cooking staff,2
7051538,M,Y,Y,0,135000,Commercial associate,Higher education,Single / not married,House / apartment,-9805,-1944,1,0,0,0,Laborers,1
7205505,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-16813,-807,1,0,0,0,Sales staff,3
7095678,F,N,N,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,-22682,365243,1,0,0,0,,2
7169775,M,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10600,-2283,1,1,1,0,,2
7576759,F,N,N,0,96750,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23644,365243,1,0,0,0,,2
7465165,F,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,-23618,365243,1,0,0,0,,2
7949761,M,Y,Y,0,292500,Working,Higher education,Single / not married,House / apartment,-9218,-334,1,0,0,0,Laborers,1
7113451,F,Y,Y,1,247500,Pensioner,Higher education,Married,House / apartment,-16208,365243,1,0,1,1,,3
7699876,M,N,Y,0,67500,Working,Secondary / secondary special,Separated,House / apartment,-17146,-1924,1,0,0,0,Drivers,1
7541540,M,Y,Y,1,225000,Working,Higher education,Married,House / apartment,-8892,-302,1,1,1,1,,3
7578378,F,N,N,0,99000,Working,Higher education,Married,With parents,-11643,-3315,1,0,0,0,Accountants,2
7417190,M,Y,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-21027,-1064,1,0,0,0,Drivers,2
7637371,M,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,-15357,-3436,1,1,0,0,Laborers,2
7139412,F,N,Y,2,270000,Working,Higher education,Civil marriage,House / apartment,-13480,-738,1,1,0,0,Managers,4
7090636,F,Y,Y,0,117000,Working,Secondary / secondary special,Separated,House / apartment,-19119,-1686,1,1,0,0,Sales staff,1
7837716,M,N,Y,2,225000,Working,Incomplete higher,Married,House / apartment,-14629,-2302,1,0,0,1,Laborers,4
7235262,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-22347,-3001,1,0,0,0,Security staff,2
7022898,F,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,With parents,-10217,-1084,1,0,0,1,,1
7801131,F,N,Y,0,157500,State servant,Higher education,Married,House / apartment,-17128,-4323,1,0,0,0,Managers,2
7108594,F,Y,Y,1,67500,Working,Higher education,Married,House / apartment,-13087,-204,1,0,0,1,Sales staff,3
7241855,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-13016,-749,1,1,1,0,Accountants,4
7397734,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-16604,-1115,1,1,0,0,Sales staff,4
7709844,F,Y,N,2,270000,Working,Higher education,Civil marriage,House / apartment,-13729,-3668,1,1,0,0,Accountants,4
7465406,F,N,N,1,112500,State servant,Higher education,Married,House / apartment,-11509,-4735,1,0,0,0,Managers,3
7344601,F,N,Y,0,202500,Working,Higher education,Civil marriage,House / apartment,-9046,-909,1,0,0,1,Core staff,2
7780476,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-18621,365243,1,0,0,0,,2
7093252,F,N,Y,0,247500,Commercial associate,Higher education,Married,House / apartment,-11914,-2980,1,0,0,0,Sales staff,2
7771474,M,Y,Y,0,157500,Pensioner,Higher education,Married,House / apartment,-21959,365243,1,0,0,1,,2
7763894,F,N,Y,0,103500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16902,-956,1,0,0,0,Medicine staff,2
7823595,M,N,Y,0,247500,State servant,Higher education,Civil marriage,House / apartment,-16774,-5876,1,0,0,0,,2
7829835,M,N,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17485,-1999,1,0,0,0,Managers,3
7509714,F,N,Y,0,88650,Pensioner,Secondary / secondary special,Married,House / apartment,-24127,365243,1,0,0,0,,2
7344673,F,Y,Y,0,189000,State servant,Higher education,Married,House / apartment,-17100,-7788,1,0,0,0,Managers,2
7105349,F,N,N,0,90000,Working,Higher education,Married,House / apartment,-11388,-4167,1,0,0,0,High skill tech staff,2
7575332,F,N,Y,1,90000,Commercial associate,Higher education,Married,Municipal apartment,-10575,-1334,1,0,0,0,Core staff,3
7807446,F,Y,Y,0,227250,Pensioner,Higher education,Married,House / apartment,-21413,365243,1,0,0,0,,2
7235934,F,N,Y,0,126000,Working,Secondary / secondary special,Single / not married,House / apartment,-20171,-1406,1,0,0,0,Cooking staff,1
7738569,M,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12141,-783,1,0,0,1,Sales staff,3
7873157,F,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,-15753,-1570,1,0,0,0,,2
7537555,F,Y,N,0,180000,Working,Secondary / secondary special,Separated,House / apartment,-18177,-11588,1,1,0,0,Core staff,1
7229424,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-17409,-1149,1,0,0,1,Laborers,2
7272828,F,N,Y,0,180000,Pensioner,Higher education,Married,House / apartment,-14727,365243,1,0,0,0,,2
7611478,M,N,N,2,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-15049,-166,1,0,0,0,Sales staff,3
7411763,F,N,Y,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,-24021,365243,1,0,0,0,,2
7117205,F,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-13530,-95,1,0,0,0,Sales staff,1
7114227,M,Y,N,2,247500,Working,Secondary / secondary special,Married,House / apartment,-18338,-5673,1,1,0,0,Laborers,4
7087124,F,N,Y,0,211500,Working,Higher education,Separated,House / apartment,-15268,-6203,1,0,1,0,Managers,1
7466521,M,Y,Y,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,-22757,365243,1,0,0,0,,2
7473036,F,N,Y,0,202500,Working,Higher education,Separated,House / apartment,-20046,-3493,1,0,0,0,Sales staff,1
7786431,M,Y,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,-19226,-4746,1,1,1,0,Laborers,2
7807796,F,N,Y,0,162000,Working,Secondary / secondary special,Separated,House / apartment,-20461,-295,1,0,0,0,,1
7317812,F,N,Y,0,193500,Working,Secondary / secondary special,Civil marriage,House / apartment,-16036,-2646,1,0,0,0,Core staff,2
7046437,F,Y,Y,1,144000,State servant,Secondary / secondary special,Civil marriage,House / apartment,-10393,-640,1,1,0,0,,3
7830010,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22949,365243,1,0,0,0,,2
7061870,M,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-11264,-563,1,1,0,1,Drivers,1
7264599,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-16607,-8852,1,0,1,0,Laborers,2
7089701,F,N,Y,0,297000,State servant,Higher education,Married,House / apartment,-19829,-5108,1,0,0,0,Core staff,2
7088447,F,N,Y,0,157500,State servant,Secondary / secondary special,Widow,House / apartment,-22887,-2052,1,0,1,0,Drivers,1
7164936,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18437,-1234,1,0,0,0,Laborers,2
7992902,M,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16798,-1317,1,0,0,0,Drivers,3
7354205,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-22193,365243,1,0,0,0,,2
7836214,M,N,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,-11042,-557,1,0,1,1,,2
7235166,F,N,Y,0,180000,Working,Incomplete higher,Married,House / apartment,-17962,-1512,1,1,0,0,Private service staff,2
7677636,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-18921,-1280,1,0,0,0,Laborers,2
7133448,M,N,Y,0,171000,Pensioner,Secondary / secondary special,Married,House / apartment,-22431,365243,1,0,1,0,,2
7091946,F,N,Y,0,225000,Working,Higher education,Single / not married,House / apartment,-18934,-1539,1,0,0,1,Accountants,1
7087519,M,Y,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,-11628,-4347,1,0,0,0,Laborers,2
7272746,F,N,Y,0,157500,State servant,Higher education,Married,With parents,-16056,-4954,1,0,0,0,Core staff,2
7936682,F,N,N,0,292500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22558,365243,1,0,0,0,,2
7263810,F,Y,Y,1,270000,State servant,Higher education,Married,House / apartment,-13213,-5440,1,0,0,1,,3
7376807,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-10846,-2278,1,0,0,0,,4
7365516,M,Y,Y,1,99000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10719,-536,1,1,1,0,Drivers,3
7111537,M,N,N,0,135000,Pensioner,Higher education,Married,House / apartment,-21455,365243,1,0,1,0,,2
7598770,F,Y,Y,0,76500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23457,365243,1,0,1,0,,1
7076908,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-10312,-2778,1,0,0,0,Laborers,2
7981094,F,N,Y,0,270000,Working,Secondary / secondary special,Widow,House / apartment,-19907,-4203,1,0,1,0,Cleaning staff,1
7474356,F,Y,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-18008,-1191,1,0,0,0,Waiters/barmen staff,1
7343452,F,N,N,1,202500,Working,Higher education,Single / not married,With parents,-11298,-234,1,0,0,0,Sales staff,2
7142505,M,N,Y,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17299,-376,1,0,0,0,Security staff,4
7395366,F,Y,Y,1,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,-13782,-840,1,1,1,0,,3
7608374,F,N,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,-22791,365243,1,0,0,0,,2
7642232,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Widow,House / apartment,-23010,365243,1,0,0,0,,1
7800171,F,Y,Y,0,450000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14690,-1493,1,0,1,1,,2
7390707,F,N,Y,0,157500,Working,Secondary / secondary special,Married,Rented apartment,-20778,-5440,1,0,0,0,,2
7033451,F,N,Y,0,76500,Working,Secondary / secondary special,Married,House / apartment,-15450,-3521,1,0,0,0,Laborers,2
7068964,M,N,Y,0,337500,Working,Secondary / secondary special,Married,House / apartment,-19732,-5369,1,0,0,0,Laborers,2
7272391,M,N,Y,0,279000,Working,Secondary / secondary special,Married,House / apartment,-17863,-693,1,0,0,0,Laborers,2
7415496,F,N,Y,0,171000,State servant,Higher education,Married,House / apartment,-16708,-4524,1,1,1,0,Core staff,2
7155322,M,Y,N,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-15122,-315,1,0,1,0,Drivers,1
7949158,F,N,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,-12765,-716,1,0,0,1,Waiters/barmen staff,4
7335727,M,N,Y,2,360000,State servant,Higher education,Married,House / apartment,-11516,-4836,1,0,0,0,Laborers,4
7155861,F,Y,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,-15546,-1641,1,1,1,1,Laborers,2
7741667,M,N,Y,0,49500,Pensioner,Secondary / secondary special,Married,House / apartment,-24323,365243,1,0,0,0,,2
7860968,F,N,Y,0,90000,State servant,Secondary / secondary special,Single / not married,House / apartment,-17331,-328,1,0,0,0,Medicine staff,1
7769807,F,N,Y,0,202500,Pensioner,Higher education,Civil marriage,House / apartment,-21909,365243,1,0,0,0,,2
7560186,F,N,Y,0,135000,Working,Incomplete higher,Married,House / apartment,-14113,-5653,1,0,0,0,Laborers,2
7116594,M,Y,N,0,157500,Working,Higher education,Married,House / apartment,-15602,-611,1,0,0,0,,2
7939110,F,Y,Y,0,900000,Working,Higher education,Married,House / apartment,-13354,-2217,1,0,0,0,Managers,2
7604640,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Widow,House / apartment,-18828,-5215,1,1,0,0,Laborers,1
7051503,M,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-11161,-2917,1,0,0,0,Laborers,2
7317473,F,N,N,1,103500,State servant,Secondary / secondary special,Married,House / apartment,-18034,-3955,1,0,1,0,Core staff,3
7632935,F,Y,N,0,186750,Working,Secondary / secondary special,Married,House / apartment,-19054,-1293,1,1,0,0,Accountants,2
7052990,F,N,Y,0,56700,Pensioner,Secondary / secondary special,Married,House / apartment,-20696,365243,1,0,0,0,,2
7345665,F,Y,Y,1,216000,Working,Incomplete higher,Married,House / apartment,-11516,-2072,1,0,1,0,Core staff,3
7797227,M,N,N,1,225000,Working,Higher education,Married,Rented apartment,-17880,-328,1,0,0,0,Security staff,3
7436690,F,Y,Y,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,-20960,365243,1,0,0,0,,2
7500010,M,N,Y,0,139500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8662,-1092,1,0,0,0,Laborers,1
7824305,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-15153,-2029,1,0,0,0,Managers,2
7696808,F,N,Y,0,202500,Working,Secondary / secondary special,Separated,House / apartment,-17481,-1072,1,1,0,0,Cooking staff,1
7858961,M,Y,Y,0,315000,Pensioner,Higher education,Married,House / apartment,-23017,365243,1,0,0,1,,2
7727947,F,N,N,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,-20710,365243,1,0,1,0,,2
7702568,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14851,-129,1,0,0,0,Sales staff,2
7054280,M,N,N,0,716323.5,State servant,Secondary / secondary special,Single / not married,With parents,-9377,-2433,1,0,0,0,Laborers,1
7391196,M,N,Y,0,540000,Working,Higher education,Married,House / apartment,-16489,-266,1,0,1,1,High skill tech staff,2
7759468,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-13377,-309,1,0,0,0,Laborers,2
7384624,F,N,N,0,81000,Working,Secondary / secondary special,Single / not married,With parents,-8087,-398,1,0,0,0,Core staff,1
7140857,M,Y,Y,0,270000,Working,Secondary / secondary special,Civil marriage,With parents,-10745,-241,1,0,0,0,Laborers,2
7033339,M,Y,N,2,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14724,-5074,1,0,0,0,Drivers,4
7354483,F,N,Y,0,72000,Pensioner,Secondary / secondary special,Married,House / apartment,-20019,365243,1,0,0,0,,2
